title,url,source,time,query,position,moment
Sen. Amy Klobuchar Calls Texas Affordable Care Act Ruling ‘Absurd’,https://minnesota.cbslocal.com/2018/12/16/klobuchar-affordable-care-act-ruling/,WCCO,1 day ago,Amy Klobuchar,6,2018-12-18 00:00:00
Klobuchar moves up in Iowa poll of 2020 Dems | TheHill,https://thehill.com/homenews/campaign/421806-klobuchar-moves-up-in-iowa-poll-of-2020-dems,The Hill,3 hours ago,Amy Klobuchar,4,2018-12-18 00:00:00
"Senator Amy Klobuchar, Running as a Democrat in the Age of Trump",https://www.newyorker.com/podcast/political-scene/senator-amy-klobuchar-running-as-a-democrat-in-the-age-of-trump,The New Yorker,7 hours ago,Amy Klobuchar,2,2018-12-18 00:00:00
Poll: Klobuchar rising in Iowa,https://www.politico.com/story/2018/12/17/poll-klobuchar-rising-in-iowa-1067256,Politico,15 hours ago,Amy Klobuchar,1,2018-12-18 06:00:00
Sen. Amy Klobuchar Calls Texas Affordable Care Act Ruling ‘Absurd’,https://minnesota.cbslocal.com/2018/12/16/klobuchar-affordable-care-act-ruling/,WCCO,1 day ago,Amy Klobuchar,6,2018-12-18 06:00:00
Could an Amy Klobuchar Solve Democrats’ Dilemma?,https://www.wsj.com/articles/could-an-amy-klobuchar-solve-democrats-dilemma-11545056133,Wall Street Journal,21 hours ago,Amy Klobuchar,2,2018-12-18 06:00:00
"Amy Klobuchar on ""Face the Nation"": ""Absurd"" Obamacare ruling would set 
health care ""on fire""",https://www.cbsnews.com/news/amy-klobuchar-on-face-the-nation-absurd-obamacare-ruling-would-set-health-care-on-fire/,CBS News,1 day ago,Amy Klobuchar,8,2018-12-18 06:00:00
"Klobuchar in Response to Judge Striking Down Obamacare: ‘We Need Universal 
Health Care’",https://freebeacon.com/issues/klobuchar-need-universal-health-care/,Free Beacon,1 day ago,Amy Klobuchar,7,2018-12-18 06:00:00
Klobuchar calls ObamaCare ruling 'absurd' | TheHill,https://thehill.com/homenews/sunday-talk-shows/421590-klobuchar-calls-ruling-against-obamacare-absurd,TheHill,1 day ago,Amy Klobuchar,10,2018-12-18 06:00:00
"Klobuchar: 'Of course we're willing to work with' Republicans to avoid 
shutdown | TheHill",https://thehill.com/homenews/sunday-talk-shows/421595-klobuchar-of-course-were-willing-to-work-with-republicans-to-avoid,TheHill,1 day ago,Amy Klobuchar,9,2018-12-18 06:00:00
Klobuchar moves up in Iowa poll of 2020 Dems | TheHill,https://thehill.com/homenews/campaign/421806-klobuchar-moves-up-in-iowa-poll-of-2020-dems,TheHill,9 hours ago,Amy Klobuchar,4,2018-12-18 06:00:00
"Senator Amy Klobuchar, Running as a Democrat in the Age of Trump",https://www.newyorker.com/podcast/political-scene/senator-amy-klobuchar-running-as-a-democrat-in-the-age-of-trump,The New Yorker,13 hours ago,Amy Klobuchar,5,2018-12-18 06:00:00
Iowa Poll: Dem Sen. Klobuchar Leaps Into WH Contention,https://www.newsmax.com/newsfront/amy-klobuchar-2020-white-house-presidential-candidate/2018/12/17/id/894835/,Newsmax.com,8 hours ago,Amy Klobuchar,3,2018-12-18 06:00:00
"Amy Klobuchar on ""Face the Nation"": ""Absurd"" Obamacare ruling would set 
health care ""on fire""",https://www.cbsnews.com/news/amy-klobuchar-on-face-the-nation-absurd-obamacare-ruling-would-set-health-care-on-fire/,CBS News,1 day ago,Amy Klobuchar,10,2018-12-18 12:00:00
