Rank,Name,Pct.,Rank,Num.,Pct.
262,Bishop,0.04%,-24,"+2,584",+2.3%
263,Montgomery,0.04%,-17,"+3,809",+3.4%
264,Oliver,0.04%,-16,"+4,259",+3.8%
265,Jensen,0.04%,-21,"+3,347",+3.0%
266,Harvey,0.04%,-19,"+3,526",+3.1%
267,Williamson,0.04%,-22,"+2,743",+2.4%
268,Gilbert,0.04%,-25,"+2,534",+2.3%
269,Dean,0.04%,-19,"+4,800",+4.4%
270,Sims,0.04%,-16,"+6,130",+5.7%
271,Espinoza,0.04%,+89,"+32,832",+41.4%
272,Howell,0.04%,-23,"+2,407",+2.2%
273,Li,0.04%,+246,"+54,000",+93.4%
274,Wong,0.04%,+3,"+11,979",+12.1%
275,Reid,0.04%,-12,"+7,353",+7.1%
276,Hanson,0.04%,-25,"+2,065",+1.9%
277,Le,0.04%,+91,"+33,514",+43.3%
278,McCoy,0.04%,-20,"+4,263",+4.0%
279,Garrett,0.04%,-26,"+2,920",+2.7%
280,Burton,0.04%,-25,"+3,371",+3.1%
281,Fuller,0.04%,-25,"+3,434",+3.2%
282,Wang,0.04%,+156,"+42,313",+62.6%
283,Weber,0.04%,-31,"+1,567",+1.5%
284,Welch,0.04%,-25,"+3,183",+3.0%
285,Rojas,0.04%,+108,"+35,350",+48.4%
286,Lucas,0.04%,-11,"+7,273",+7.2%
287,Marquez,0.04%,+70,"+27,582",+34.5%
288,Fields,0.04%,-24,"+4,280",+4.1%
289,Park,0.04%,+54,"+24,806",+30.3%
290,Yang,0.04%,+107,"+33,406",+46.0%
291,Little,0.04%,-25,"+3,218",+3.1%
292,Banks,0.04%,-14,"+6,539",+6.6%
293,Padilla,0.04%,+52,"+23,560",+28.8%
294,Day,0.04%,-23,"+3,415",+3.4%
295,Walsh,0.04%,-30,"+1,863",+1.8%
296,Bowman,0.04%,-28,"+2,768",+2.7%
297,Schultz,0.04%,-36,-74,-0.10%
298,Luna,0.04%,+80,"+28,391",+37.3%
299,Fowler,0.04%,-32,"+1,895",+1.8%
300,Mejia,0.04%,+148,"+37,523",+56.4%
301,Davidson,0.04%,-32,"+1,886",+1.8%
302,Acosta,0.04%,+75,"+26,941",+35.2%
303,Brewer,0.04%,-29,"+2,853",+2.8%
304,May,0.04%,-34,"+1,580",+1.6%
305,Holland,0.04%,-29,"+2,653",+2.7%
306,Juarez,0.04%,+123,"+33,164",+48.2%
307,Newman,0.04%,-34,"+1,440",+1.4%
308,Pearson,0.04%,-27,"+3,108",+3.1%
309,Curtis,0.04%,-29,"+2,843",+2.9%
310,Cortez,0.03%,+57,"+24,202",+31.2%
311,Douglas,0.03%,-25,"+5,033",+5.2%
312,Schneider,0.03%,-40,+737,+0.7%
313,Joseph,0.03%,+43,"+20,929",+26.2%
314,Barrett,0.03%,-26,"+4,208",+4.4%
315,Navarro,0.03%,+73,"+25,837",+34.9%
316,Figueroa,0.03%,+82,"+25,935",+35.8%
317,Keller,0.03%,-27,"+3,968",+4.2%
318,Avila,0.03%,+103,"+27,471",+39.3%
319,Wade,0.03%,-22,"+4,206",+4.5%
320,Molina,0.03%,+97,"+26,768",+38.1%
321,Stanley,0.03%,-29,"+3,050",+3.3%
322,Hopkins,0.03%,-33,"+2,207",+2.3%
323,Campos,0.03%,+97,"+26,161",+37.4%
324,Barnett,0.03%,-24,"+3,394",+3.7%
325,Bates,0.03%,-32,"+1,879",+2.0%
326,Chambers,0.03%,-21,"+4,663",+5.2%
327,Caldwell,0.03%,-26,"+2,606",+2.9%
328,Beck,0.03%,-33,+625,+0.7%
329,Lambert,0.03%,-26,"+3,060",+3.4%
330,Miranda,0.03%,+107,"+25,982",+38.4%
331,Byrd,0.03%,-20,"+4,093",+4.6%
332,Craig,0.03%,-25,"+2,916",+3.3%
333,Ayala,0.03%,+116,"+25,948",+39.0%
334,Lowe,0.03%,-25,"+3,082",+3.5%
335,Frazier,0.03%,-21,"+3,827",+4.3%
336,Powers,0.03%,-32,"+1,569",+1.7%
337,Neal,0.03%,-4,"+7,845",+9.4%
338,Leonard,0.03%,-30,"+2,277",+2.6%
339,Gregory,0.03%,-27,"+2,574",+2.9%
340,Carrillo,0.03%,+103,"+24,075",+35.9%
341,Sutton,0.03%,-22,"+3,591",+4.1%
342,Fleming,0.03%,-25,"+2,728",+3.1%
343,Rhodes,0.03%,-33,"+1,753",+2.0%
344,Shelton,0.03%,-31,"+2,191",+2.5%
345,Schwartz,0.03%,-15,"+5,372",+6.3%
346,Norris,0.03%,-20,"+4,584",+5.4%
347,Jennings,0.03%,-26,"+2,662",+3.1%
